from_station_code,to_station_code,time_minutes,event_type_code,created_at,updated_at
AOBADAI,TANA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
AOBADAI,FUJIGAOKA,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
AZAMINO,EDA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
AZAMINO,TAMAPLAZA,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
BASHAMICHI,NIHONODORI,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
BASHAMICHI,MINATOMIRAI,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
CHIDORICHO,IKEGAMI,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
CHIDORICHO,KUGAHARA,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
CHUORINKAN,TSUKIMINO,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
DAIKANYAMA,NAKAMEGURO,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
DAIKANYAMA,SHIBUYA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
DENENCHOFU,TAMAGAWA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
DENENCHOFU,JIYUGAOKA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
DENENCHOFU,OKUSAWA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
EBARAMACHI,HATANODAI,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
EBARAMACHI,NAKANOBU,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
EBARANAKANOBU,HATANODAI,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
EBARANAKANOBU,TOGOSHIGINZA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
EDA,ICHIGAO,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
EDA,AZAMINO,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUDOMAE,MUSASHIKOYAMA,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUDOMAE,MEGURO,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUJIGAOKA,AOBADAI,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUJIGAOKA,ICHIGAO,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUTAKOSHINCHI,TAKATSU,1,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUTAKOSHINCHI,FUTAKOTAMAGAWA,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUTAKOTAMAGAWA,FUTAKOSHINCHI,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUTAKOTAMAGAWA,YOGA,3,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
FUTAKOTAMAGAWA,KAMINOGE,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
GAKUGEIDAIGAKU,TORITSUDAIGAKU,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
GAKUGEIDAIGAKU,YUTENJI,2,TOKYU,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481
