from_station_code,to_station_code,time_minutes,event_type_code
METRO_V1_SHIBUYA,METRO_V1_OMOTE-SANDO,2,METRO_V1
METRO_V1_OMOTE-SANDO,METRO_V1_SHIBUYA,2,METRO_V1
METRO_V1_OMOTE-SANDO,METRO_V1_GAIEMMAE,2,METRO_V1
METRO_V1_GAIEMMAE,METRO_V1_OMOTE-SANDO,1,METRO_V1
METRO_V1_GAIEMMAE,METRO_V1_AOYAMA-ITCHOME,1,METRO_V1
METRO_V1_AOYAMA-ITCHOME,METRO_V1_GAIEMMAE,1,METRO_V1
METRO_V1_AOYAMA-ITCHOME,METRO_V1_AKASAKA-MITSUKE,2,METRO_V1
METRO_V1_AKASAKA-MITSUKE,METRO_V1_AOYAMA-ITCHOME,2,METRO_V1
METRO_V1_AKASAKA-MITSUKE,METRO_V1_TAMEIKE-SANNO,2,METRO_V1
METRO_V1_TAMEIKE-SANNO,METRO_V1_AKASAKA-MITSUKE,2,METRO_V1
METRO_V1_TAMEIKE-SANNO,METRO_V1_TORANOMON,2,METRO_V1
METRO_V1_TORANOMON,METRO_V1_TAMEIKE-SANNO,2,METRO_V1
METRO_V1_TORANOMON,METRO_V1_SHIMBASHI,2,METRO_V1
METRO_V1_SHIMBASHI,METRO_V1_TORANOMON,2,METRO_V1
METRO_V1_SHIMBASHI,METRO_V1_GINZA,2,METRO_V1
METRO_V1_GINZA,METRO_V1_SHIMBASHI,2,METRO_V1
METRO_V1_GINZA,METRO_V1_KYOBASHI,2,METRO_V1
METRO_V1_KYOBASHI,METRO_V1_GINZA,2,METRO_V1
METRO_V1_KYOBASHI,METRO_V1_NIHOMBASHI,1,METRO_V1
METRO_V1_NIHOMBASHI,METRO_V1_KYOBASHI,1,METRO_V1
METRO_V1_NIHOMBASHI,METRO_V1_MITSUKOSHIMAE,2,METRO_V1
METRO_V1_MITSUKOSHIMAE,METRO_V1_NIHOMBASHI,2,METRO_V1
METRO_V1_MITSUKOSHIMAE,METRO_V1_KANDA,2,METRO_V1
METRO_V1_KANDA,METRO_V1_MITSUKOSHIMAE,2,METRO_V1
METRO_V1_KANDA,METRO_V1_SUEHIROCHO,2,METRO_V1
METRO_V1_SUEHIROCHO,METRO_V1_KANDA,2,METRO_V1
METRO_V1_SUEHIROCHO,METRO_V1_UENO-HIROKOJI,2,METRO_V1
METRO_V1_UENO-HIROKOJI,METRO_V1_SUEHIROCHO,2,METRO_V1
METRO_V1_UENO-HIROKOJI,METRO_V1_UENO,1,METRO_V1
METRO_V1_UENO,METRO_V1_UENO-HIROKOJI,1,METRO_V1
METRO_V1_UENO,METRO_V1_INARICHO,2,METRO_V1
METRO_V1_INARICHO,METRO_V1_UENO,2,METRO_V1
METRO_V1_INARICHO,METRO_V1_TAWARAMACHI,2,METRO_V1
METRO_V1_TAWARAMACHI,METRO_V1_INARICHO,1,METRO_V1
METRO_V1_TAWARAMACHI,METRO_V1_ASAKUSA,2,METRO_V1
METRO_V1_ASAKUSA,METRO_V1_TAWARAMACHI,2,METRO_V1
METRO_V1_NAKANO-SAKAUE,METRO_V1_NAKANO-SHIMBASHI,3,METRO_V1
METRO_V1_NAKANO-SHIMBASHI,METRO_V1_NAKANO-SAKAUE,3,METRO_V1
METRO_V1_NAKANO-SHIMBASHI,METRO_V1_NAKANO-FUJIMICHO,2,METRO_V1
METRO_V1_NAKANO-FUJIMICHO,METRO_V1_NAKANO-SHIMBASHI,1,METRO_V1
METRO_V1_NAKANO-FUJIMICHO,METRO_V1_HONANCHO,2,METRO_V1
METRO_V1_HONANCHO,METRO_V1_NAKANO-FUJIMICHO,3,METRO_V1
METRO_V1_OGIKUBO,METRO_V1_MINAMI-ASAGAYA,3,METRO_V1
METRO_V1_MINAMI-ASAGAYA,METRO_V1_OGIKUBO,2,METRO_V1
METRO_V1_MINAMI-ASAGAYA,METRO_V1_SHIN-KOENJI,2,METRO_V1
METRO_V1_SHIN-KOENJI,METRO_V1_MINAMI-ASAGAYA,1,METRO_V1
METRO_V1_SHIN-KOENJI,METRO_V1_HIGASHI-KOENJI,2,METRO_V1
METRO_V1_HIGASHI-KOENJI,METRO_V1_SHIN-KOENJI,1,METRO_V1
METRO_V1_HIGASHI-KOENJI,METRO_V1_SHIN-NAKANO,2,METRO_V1
METRO_V1_SHIN-NAKANO,METRO_V1_HIGASHI-KOENJI,2,METRO_V1
METRO_V1_NAKANO-SAKAUE,METRO_V1_NISHI-SHINJUKU,1,METRO_V1
METRO_V1_NISHI-SHINJUKU,METRO_V1_NAKANO-SAKAUE,2,METRO_V1
METRO_V1_NISHI-SHINJUKU,METRO_V1_SHINJUKU,1,METRO_V1
METRO_V1_SHINJUKU,METRO_V1_NISHI-SHINJUKU,1,METRO_V1
METRO_V1_SHINJUKU,METRO_V1_SHINJUKU-SANCHOME,1,METRO_V1
METRO_V1_SHINJUKU-SANCHOME,METRO_V1_SHINJUKU,1,METRO_V1
METRO_V1_SHINJUKU-SANCHOME,METRO_V1_SHINJUKU-GYOEMMAE,1,METRO_V1
METRO_V1_SHINJUKU-GYOEMMAE,METRO_V1_SHINJUKU-SANCHOME,1,METRO_V1
METRO_V1_SHINJUKU-GYOEMMAE,METRO_V1_YOTSUYA-SANCHOME,1,METRO_V1
METRO_V1_YOTSUYA-SANCHOME,METRO_V1_SHINJUKU-GYOEMMAE,1,METRO_V1
METRO_V1_YOTSUYA-SANCHOME,METRO_V1_YOTSUYA,1,METRO_V1
METRO_V1_YOTSUYA,METRO_V1_YOTSUYA-SANCHOME,2,METRO_V1
METRO_V1_YOTSUYA,METRO_V1_AKASAKA-MITSUKE,2,METRO_V1
METRO_V1_AKASAKA-MITSUKE,METRO_V1_YOTSUYA,2,METRO_V1
METRO_V1_AKASAKA-MITSUKE,METRO_V1_KOKKAI-GIJIDOMAE,1,METRO_V1
METRO_V1_KOKKAI-GIJIDOMAE,METRO_V1_AKASAKA-MITSUKE,2,METRO_V1
METRO_V1_KOKKAI-GIJIDOMAE,METRO_V1_KASUMIGASEKI,1,METRO_V1
