station_code,name,kana,english_name,latitude,longitude,is_mission_set,event_type_code,station_type,station_grade
METRO_V1_AOYAMA-ITCHOME,青山一丁目,あおやまいっちょうめ,Aoyama-itchome,35.67276462,139.7239043,FALSE,METRO_V1,,none
METRO_V1_AKASAKA,赤坂,あかさか,Akasaka,35.672371,139.736539,FALSE,METRO_V1,,a
METRO_V1_AKASAKA-MITSUKE,赤坂見附,あかさかみつけ,Akasaka-mitsuke,35.677021,139.737047,FALSE,METRO_V1,treasure,b
METRO_V1_AKABANE-IWABUCHI,赤羽岩淵,あかばねいわぶち,Akabane-iwabuchi,35.783417,139.722103,FALSE,METRO_V1,mission,c
METRO_V1_AKABANEBASHI,赤羽橋,あかばねばし,Akabanebashi,35.655007,139.743642,FALSE,METRO_V1,,none
METRO_V1_AKIHABARA,秋葉原,あきはばら,Akihabara,35.698683,139.774219,FALSE,METRO_V1,mission,none
METRO_V1_AKEBONOBASHI,曙橋,あけぼのばし,Akebonobashi,35.6923758,139.7226303,FALSE,METRO_V1,,none
METRO_V1_ASAKUSA,浅草,あさくさ,Asakusa,35.712074,139.79843,FALSE,METRO_V1,mission,none
METRO_V1_ASAKUSABASHI,浅草橋,あさくさばし,Asakusabashi,35.69745239,139.7863697,FALSE,METRO_V1,,none
METRO_V1_AZABU-JUBAN,麻布十番,あざぶじゅうばん,Azabu-juban,35.65639015,139.7365049,FALSE,METRO_V1,mission,none
METRO_V1_AYASE,綾瀬,あやせ,Ayase,35.762214,139.824914,FALSE,METRO_V1,,none
METRO_V1_AWAJICHO,淡路町,あわじちょう,Awajicho,35.6953595,139.7675149,FALSE,METRO_V1,,none
METRO_V1_IIDABASHI,飯田橋,いいだばし,Iidabashi,35.702065,139.745015,FALSE,METRO_V1,,none
METRO_V1_IKEBUKURO,池袋,いけぶくろ,Ikebukuro,35.728926,139.71038,FALSE,METRO_V1,card,none
METRO_V1_ITABASHI-KUYAKUSHOMAE,板橋区役所前,いたばしくやくしょまえ,Itabashi-kuyakushomae,35.751326,139.710166,FALSE,METRO_V1,,none
METRO_V1_ITABASHIHONCHO,板橋本町,いたばしほんちょう,Itabashihoncho,35.761339,139.705535,FALSE,METRO_V1,,none
METRO_V1_ICHIGAYA,市ケ谷,いちがや,Ichigaya,35.69121073,139.7364902,FALSE,METRO_V1,,none
