id,team_code,event_code,created_at,updated_at
1,TEAM_B,TOKYU_20250517,2025-05-17 02:08:43.306+00,2025-05-17 02:08:43.306+00
2,TEAM_A,TOKYU_20250517,2025-05-17 03:07:17.362+00,2025-05-17 03:07:17.362+00
3,TEAM_B,TOKYU_20250517,2025-05-17 04:41:14.598+00,2025-05-17 04:41:14.598+00
4,TEAM_C,TOKYU_20250517,2025-05-17 04:58:14.693+00,2025-05-17 04:58:14.693+00
5,TEAM_D,TOKYU_20250517,2025-05-17 05:51:08.276+00,2025-05-17 05:51:08.276+00
6,TEAM_C,TOKYU_20250517,2025-05-17 06:50:31.281+00,2025-05-17 06:50:31.281+00
7,TEAM_A,TOKYU_20250517,2025-05-17 07:11:21.049+00,2025-05-17 07:11:21.049+00
8,TEAM_D,TOKYU_20250517,2025-05-17 08:52:29.874+00,2025-05-17 08:52:29.874+00
9,DUMMY_TEAM,DUMMY_20250725,2025-07-24 15:00:00.000+00,2025-07-24 15:00:00.000+00
43,TOKYU_V2_20251115_TEAM_C,TOKYU_V2_20251115,2025-11-15 02:24:27.829+00,2025-11-15 02:24:27.829+00
44,TOKYU_V2_20251115_TEAM_B,TOKYU_V2_20251115,2025-11-15 05:14:52.423+00,2025-11-15 05:14:52.423+00
45,TOKYU_V2_20251115_TEAM_C,TOKYU_V2_20251115,2025-11-15 06:04:24.516+00,2025-11-15 06:04:24.516+00
46,TOKYU_V2_20251115_TEAM_B,TOKYU_V2_20251115,2025-11-15 06:08:52.865+00,2025-11-15 06:08:52.865+00
47,TOKYU_V2_20251115_TEAM_A,TOKYU_V2_20251115,2025-11-15 07:44:49.279+00,2025-11-15 07:44:49.279+00
48,TOKYU_V2_20251115_TEAM_B,TOKYU_V2_20251115,2025-11-15 08:43:51.629+00,2025-11-15 08:43:51.629+00
