from_station_code,to_station_code,time_minutes,created_at,updated_at,event_type_code
AOBADAI,TANA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
AOBADAI,FUJIGAOKA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
AZAMINO,EDA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
AZAMINO,TAMAPLAZA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
BASHAMICHI,NIHONODORI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
BASHAMICHI,MINATOMIRAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
CHIDORICHO,IKEGAMI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
CHIDORICHO,KUGAHARA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
CHUORINKAN,TSUKIMINO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DAIKANYAMA,NAKAMEGURO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DAIKANYAMA,SHIBUYA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DENENCHOFU,TAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DENENCHOFU,JIYUGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
DENENCHOFU,OKUSAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARAMACHI,HATANODAI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARAMACHI,NAKANOBU,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARANAKANOBU,HATANODAI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EBARANAKANOBU,TOGOSHIGINZA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EDA,ICHIGAO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
EDA,AZAMINO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUDOMAE,MUSASHIKOYAMA,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUDOMAE,MEGURO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUJIGAOKA,AOBADAI,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUJIGAOKA,ICHIGAO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOSHINCHI,TAKATSU,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOSHINCHI,FUTAKOTAMAGAWA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOTAMAGAWA,FUTAKOSHINCHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOTAMAGAWA,YOGA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
FUTAKOTAMAGAWA,KAMINOGE,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
GAKUGEIDAIGAKU,TORITSUDAIGAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
GAKUGEIDAIGAKU,YUTENJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
GOTANDA,OSAKIHIROKOJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HAKURAKU,HIGASHIHAKURAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HAKURAKU,MYORENJI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HASUNUMA,KAMATA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HASUNUMA,IKEGAMI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,KITASENZOKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,EBARAMACHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,NAGAHARA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HATANODAI,EBARANAKANOBU,1,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIGASHIHAKURAKU,TANMACHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIGASHIHAKURAKU,HAKURAKU,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIYOSHI,TSUNASHIMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIYOSHI,MOTOSUMIYOSHI,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
HIYOSHI,SHINTSUNASHIMA,3,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ICHIGAO,FUJIGAOKA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
ICHIGAO,EDA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
IKEGAMI,HASUNUMA,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
IKEGAMI,CHIDORICHO,2,2025-07-09 09:06:30.481,2025-07-09 09:06:30.481,TOKYU
