id,team_code,event_code,points,status,created_at,updated_at
1,TEAM_D,TOKYU_20250517,5,scored,2025-05-17 01:40:11.635,2025-05-17 03:05:29.228
2,TEAM_C,TOKYU_20250517,5,scored,2025-05-17 01:42:04.194,2025-05-17 04:38:49.556
3,TEAM_A,TOKYU_20250517,5,scored,2025-05-17 01:42:43.466,2025-05-17 02:06:39.245
4,TEAM_B,TOKYU_20250517,5,scored,2025-05-17 01:46:22.747,2025-05-17 07:12:14.232
5,TEAM_C,TOKYU_20250517,5,scored,2025-05-17 01:54:09.358,2025-05-17 04:38:49.556
6,TEAM_A,TOKYU_20250517,5,scored,2025-05-17 02:02:51.303,2025-05-17 02:06:39.245
7,TEAM_D,TOKYU_20250517,5,scored,2025-05-17 02:03:13.305,2025-05-17 03:05:29.228
8,TEAM_B,TOKYU_20250517,5,scored,2025-05-17 02:04:42.751,2025-05-17 07:12:14.232
9,TEAM_A,TOKYU_20250517,250,scored,2025-05-17 02:06:40.163,2025-05-17 02:06:39.245
10,TEAM_C,TOKYU_20250517,5,scored,2025-05-17 02:28:00.036,2025-05-17 04:38:49.556
11,TEAM_B,TOKYU_20250517,5,scored,2025-05-17 02:36:33.893,2025-05-17 07:12:14.232
12,TEAM_B,TOKYU_20250517,5,scored,2025-05-17 02:37:32.001,2025-05-17 07:12:14.232
13,TEAM_C,TOKYU_20250517,5,scored,2025-05-17 02:38:30.293,2025-05-17 04:38:49.556
14,TEAM_D,TOKYU_20250517,5,scored,2025-05-17 02:45:49.453,2025-05-17 03:05:29.228
15,TEAM_C,TOKYU_20250517,50,scored,2025-05-17 02:56:45.885,2025-05-17 04:38:49.556
16,TEAM_A,TOKYU_20250517,5,scored,2025-05-17 03:00:32.329,2025-05-17 08:49:23.48
17,TEAM_D,TOKYU_20250517,5,scored,2025-05-17 03:03:29.017,2025-05-17 03:05:29.228
18,TEAM_D,TOKYU_20250517,288,scored,2025-05-17 03:05:29.199,2025-05-17 03:05:29.228
19,TEAM_C,TOKYU_20250517,5,scored,2025-05-17 03:07:49.495,2025-05-17 04:38:49.556
20,TEAM_B,TOKYU_20250517,100,scored,2025-05-17 03:08:53.025,2025-05-17 07:12:14.232
21,TEAM_C,TOKYU_20250517,100,scored,2025-05-17 03:12:02.836,2025-05-17 04:38:49.556
22,TEAM_D,TOKYU_20250517,50,scored,2025-05-17 03:15:52.691,2025-05-17 03:15:52.691
23,TEAM_A,TOKYU_20250517,250,scored,2025-05-17 03:29:34.861,2025-05-17 08:49:23.48
24,TEAM_A,TOKYU_20250517,5,scored,2025-05-17 03:49:39.931,2025-05-17 08:49:23.48
25,TEAM_C,TOKYU_20250517,5,scored,2025-05-17 03:50:29.322,2025-05-17 04:38:49.556
26,TEAM_A,TOKYU_20250517,5,scored,2025-05-17 04:06:42.877,2025-05-17 08:49:23.48
27,TEAM_B,TOKYU_20250517,5,scored,2025-05-17 04:19:27.269,2025-05-17 07:12:14.232
