id,station_code,name,kana,latitude,longitude,is_mission_set,created_at,updated_at,event_type_code,english_name
1,AOBADAI,青葉台,あおばだい,35.542955,139.517182,false,2025-08-22 14:49:18.208+00,2025-08-22 14:49:18.208+00,TOKYU,Aobadai
2,AZAMINO,あざみ野,あざみの,35.568717,139.553556,true,2025-08-22 14:49:18.215+00,2025-08-22 14:49:18.215+00,TOKYU,Azamino
3,BASHAMICHI,馬車道,ばしゃみち,35.450135,139.636175,true,2025-08-22 14:49:18.219+00,2025-08-22 14:49:18.219+00,TOKYU,Bashamichi
4,CHIDORICHO,千鳥町,ちどりちょう,35.57293,139.691459,false,2025-08-22 14:49:18.223+00,2025-08-22 14:49:18.223+00,TOKYU,Chidorichō
5,CHUORINKAN,中央林間,ちゅうおうりんかん,35.50788411,139.4441171,true,2025-08-22 14:49:18.227+00,2025-08-22 14:49:18.227+00,TOKYU,Chūō-rinkan
6,DAIKANYAMA,代官山,だいかんやま,35.648104,139.703168,false,2025-08-22 14:49:18.231+00,2025-08-22 14:49:18.231+00,TOKYU,Daikan-yama
7,DENENCHOFU,田園調布,でんえんちょうふ,35.603844,139.6723,false,2025-08-22 14:49:18.234+00,2025-08-22 14:49:18.234+00,TOKYU,Den-en-chōfu
8,EBARAMACHI,荏原町,えばらまち,35.603782,139.70781,false,2025-08-22 14:49:18.238+00,2025-08-22 14:49:18.238+00,TOKYU,Ebara-machi
9,EBARANAKANOBU,荏原中延,えばらなかのぶ,35.609953,139.711954,false,2025-08-22 14:49:18.241+00,2025-08-22 14:49:18.241+00,TOKYU,Ebara-nakanobu
10,EDA,江田,えだ,35.558646,139.551509,false,2025-08-22 14:49:18.245+00,2025-08-22 14:49:18.245+00,TOKYU,Eda
11,FUDOMAE,不動前,ふどうまえ,35.625679,139.713406,false,2025-08-22 14:49:18.248+00,2025-08-22 14:49:18.248+00,TOKYU,Fudō-mae
12,FUJIGAOKA,藤が丘,ふじがおか,35.543595,139.527873,false,2025-08-22 14:49:18.251+00,2025-08-22 14:49:18.251+00,TOKYU,Fujigaoka
13,FUTAKOSHINCHI,二子新地,ふたこしんち,35.607125,139.622399,false,2025-08-22 14:49:18.254+00,2025-08-22 14:49:18.254+00,TOKYU,Futako-shinchi
14,FUTAKOTAMAGAWA,二子玉川,ふたこたまがわ,35.611499,139.626624,false,2025-08-22 14:49:18.257+00,2025-08-22 14:49:18.257+00,TOKYU,Futako-tamagawa
15,GAKUGEIDAIGAKU,学芸大学,がくげいだいがく,35.628845,139.685284,false,2025-08-22 14:49:18.26+00,2025-08-22 14:49:18.26+00,TOKYU,Gakugei-daigaku
16,GOTANDA,五反田,ごたんだ,35.626446,139.723444,true,2025-08-22 14:49:18.263+00,2025-08-22 14:49:18.263+00,TOKYU,Gotanda
17,HAKURAKU,白楽,はくらく,35.489697,139.627892,true,2025-08-22 14:49:18.266+00,2025-08-22 14:49:18.266+00,TOKYU,Hakuraku
18,HASUNUMA,蓮沼,はすぬま,35.50670837,139.6168805,false,2025-08-22 14:49:18.269+00,2025-08-22 14:49:18.269+00,TOKYU,Hasunuma
19,HATANODAI,旗の台,はたのだい,35.604848,139.702497,false,2025-08-22 14:49:18.272+00,2025-08-22 14:49:18.272+00,TOKYU,Hatanodai
20,HIGASHIHAKURAKU,東白楽,ひがしはくらく,35.483425,139.629361,false,2025-08-22 14:49:18.275+00,2025-08-22 14:49:18.275+00,TOKYU,Higashi-hakuraku
21,HIYOSHI,日吉,ひよし,35.553064,139.646783,true,2025-08-22 14:49:18.278+00,2025-08-22 14:49:18.278+00,TOKYU,Hiyoshi
22,ICHIGAO,市が尾,いちがお,35.551477,139.541388,false,2025-08-22 14:49:18.281+00,2025-08-22 14:49:18.281+00,TOKYU,Ichigao
23,IKEGAMI,池上,いけがみ,35.572097,139.702885,true,2025-08-22 14:49:18.284+00,2025-08-22 14:49:18.284+00,TOKYU,Ikegami
24,IKEJIRIOHASHI,池尻大橋,いけじりおおはし,35.650603,139.684319,false,2025-08-22 14:49:18.288+00,2025-08-22 14:49:18.288+00,TOKYU,Ikejiri-ōhashi
25,ISHIKAWADAI,石川台,いしかわだい,35.596943,139.685257,false,2025-08-22 14:49:18.291+00,2025-08-22 14:49:18.291+00,TOKYU,Ishikawa-dai
26,JIYUGAOKA,自由が丘,じゆうがおか,35.607577,139.669094,false,2025-08-22 14:49:18.294+00,2025-08-22 14:49:18.294+00,TOKYU,Jiyūgaoka
27,KAJIGAYA,梶が谷,かじがや,35.594102,139.606008,false,2025-08-22 14:49:18.297+00,2025-08-22 14:49:18.297+00,TOKYU,Kajigaya
28,KAMATA,蒲田,かまた,35.562479,139.716051,false,2025-08-22 14:49:18.301+00,2025-08-22 14:49:18.301+00,TOKYU,Kamata
29,KAMINOGE,上野毛,かみのげ,35.612007,139.638861,false,2025-08-22 14:49:18.304+00,2025-08-22 14:49:18.304+00,TOKYU,Kaminoge
30,KIKUNA,菊名,きくな,35.50963984,139.630734,false,2025-08-22 14:49:18.307+00,2025-08-22 14:49:18.307+00,TOKYU,Kikuna
31,KITASENZOKU,北千束,きたせんぞく,35.60632,139.693214,false,2025-08-22 14:49:18.31+00,2025-08-22 14:49:18.31+00,TOKYU,Kitasenzoku
32,KOMAZAWADAIGAKU,駒沢大学,こまざわだいがく,35.633471,139.661702,false,2025-08-22 14:49:18.314+00,2025-08-22 14:49:18.314+00,TOKYU,Komazawa University
33,KUGAHARA,久が原,くがはら,35.57984,139.685345,false,2025-08-22 14:49:18.317+00,2025-08-22 14:49:18.317+00,TOKYU,Kugahara
34,KUHONBUTSU,九品仏,くほんぶつ,35.605411,139.661023,false,2025-08-22 14:49:18.32+00,2025-08-22 14:49:18.32+00,TOKYU,Kuhombutsu
35,MEGURO,目黒,めぐろ,35.633998,139.715828,true,2025-08-22 14:49:18.323+00,2025-08-22 14:49:18.323+00,TOKYU,Meguro
36,MIDORIGAOKA,緑が丘,みどりがおか,35.50670837,139.6168805,false,2025-08-22 14:49:18.327+00,2025-08-22 14:49:18.327+00,TOKYU,Midorigaoka
37,MINAMIMACHIDAGRANBERRYPARK,南町田グランベリーパーク,みなみまちだぐらんべりーぱーく,35.511502,139.470318,true,2025-08-22 14:49:18.331+00,2025-08-22 14:49:18.331+00,TOKYU,Minami-machida Grandberry Park
38,MINATOMIRAI,みなとみらい,みなとみらい,35.457917,139.632314,false,2025-08-22 14:49:18.334+00,2025-08-22 14:49:18.334+00,TOKYU,Minatomirai
39,MIYAMAEDAIRA,宮前平,みやまえだいら,35.584945,139.581919,false,2025-08-22 14:49:18.338+00,2025-08-22 14:49:18.338+00,TOKYU,Miyamaedaira
40,MIYAZAKIDAI,宮崎台,みやざきだい,35.587325,139.591349,false,2025-08-22 14:49:18.341+00,2025-08-22 14:49:18.341+00,TOKYU,Miyazakidai
41,MIZONOKUCHI,溝の口,みぞのくち,35.600032,139.610626,true,2025-08-22 14:49:18.344+00,2025-08-22 14:49:18.344+00,TOKYU,Mizonokuchi
42,MOTOMACHICHUKAGAI,元町・中華街,もとまちちゅうかがい,35.442411,139.650472,true,2025-08-22 14:49:18.347+00,2025-08-22 14:49:18.347+00,TOKYU,Motomachi-Chūkagai
43,MOTOSUMIYOSHI,元住吉,もとすみよし,35.56432,139.654046,false,2025-08-22 14:49:18.35+00,2025-08-22 14:49:18.35+00,TOKYU,Motosumiyoshi
44,MUSASHIKOSUGI,武蔵小杉,むさしこすぎ,35.57657493,139.6594451,false,2025-08-22 14:49:18.353+00,2025-08-22 14:49:18.353+00,TOKYU,Musashi-kosugi
