id,team_code,team_name,team_color,event_code,created_at,updated_at,discord_webhook_url
1,TEAM_A,ムキンアナ,#0059ff,TOKYU_20250517,2025-07-08 07:56:53.826+00,2025-07-08 07:56:53.826+00,
2,TEAM_B,ももちゃん先生ももちゃん先生,#f11b1b,TOKYU_20250517,2025-07-08 07:56:53.826+00,2025-07-08 07:56:53.826+00,
3,TEAM_C,ぎゃぅず,#e7a923,TOKYU_20250517,2025-07-08 07:56:53.826+00,2025-07-08 07:56:53.826+00,
4,TEAM_D,よっぱ隊,#03a50b,TOKYU_20250517,2025-07-08 07:56:53.826+00,2025-07-08 07:56:53.826+00,
5,DUMMY_TEAM,ダミーチーム,#000000,DUMMY_20250725,2025-07-24 15:00:00+00,2025-07-24 15:00:00+00,
17,TOKYU_V2_TESTPLAY_20251018_TEAM_A,チームA,#0059ff,TOKYU_V2_TESTPLAY_20251018,2025-09-18 16:13:33.34+00,2025-09-18 16:13:33.34+00,
18,TOKYU_V2_TESTPLAY_20251018_TEAM_B,チームB,#f11b1b,TOKYU_V2_TESTPLAY_20251018,2025-09-18 16:13:33.34+00,2025-09-18 16:13:33.34+00,
19,TOKYU_V2_TESTPLAY_20251018_TEAM_C,チームC,#e7a923,TOKYU_V2_TESTPLAY_20251018,2025-09-18 16:13:33.34+00,2025-09-18 16:13:33.34+00,
20,TOKYU_V2_TESTPLAY_20251018_TEAM_D,チームD,#03a50b,TOKYU_V2_TESTPLAY_20251018,2025-09-18 16:13:33.34+00,2025-09-18 16:13:33.34+00,
23,TOKYU_V2_20251115_TEAM_A,人多,#0059ff,TOKYU_V2_20251115,2025-09-17 10:49:45.192+00,2025-09-17 10:49:45.192+00,
24,TOKYU_V2_20251115_TEAM_B,サインはB,#f11b1b,TOKYU_V2_20251115,2025-09-17 10:49:45.192+00,2025-09-17 10:49:45.192+00,
25,TOKYU_V2_20251115_TEAM_C,C。 ―田都の運動について―,#e7a923,TOKYU_V2_20251115,2025-09-17 10:49:45.192+00,2025-09-17 10:49:45.192+00,
26,TOKYU_V2_20251115_TEAM_D,LE SSERAFIM,#03a50b,TOKYU_V2_20251115,2025-09-17 10:49:45.192+00,2025-09-17 10:49:45.192+00,
27,METRO_V1_TESTPLAY_20261010_TEAM_A,チームA,#0059ff,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00.000+09,2026-10-10 01:00:00.000+09,
28,METRO_V1_TESTPLAY_20261010_TEAM_B,チームB,#f11b1b,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00.000+09,2026-10-10 01:00:00.000+09,
29,METRO_V1_TESTPLAY_20261010_TEAM_C,チームC,#e7a923,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00.000+09,2026-10-10 01:00:00.000+09,
30,METRO_V1_TESTPLAY_20261010_TEAM_D,チームD,#03a50b,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00.000+09,2026-10-10 01:00:00.000+09,
